en,cn,ar,pos
Tajikistan,塔吉克斯坦,طاجيكستان,np
take care not to leave things behind,当心不要丢失东西,,np
"Take care, not to leave things behind.",当心不要遗忘携带物品。,,sent
"Take me there, please.",请带我到那里。,خذني إلى هناك من فضلك.,sent
"Take me to *, please.",请您开到*。,خذني إلى *، من فضلك.,vp
take off,脱掉,,np
"Take off your belt, please.",请解下您的皮带。,,sent
Take off your coat and shoes and put then in the box.,脱掉您的外套和鞋子，把它们放进盒子里。,,sent
take-off,起飞,,np
tampon,卫生棉条,سدادة قطنية للدورة,np
Tanzania,坦桑尼亚,تنزانيا,np
taxi,出租车,تاكسي,np
Taxi driver,出租车司机,سائق تاكسي,np
taxipick-up point,出租车乘车点,,np
tea,茶,شاي,np
Tea and Coffee Making Facility In All Bedrooms,所有卧室有沏茶，煮咖啡设备。,,sent
tea pot,茶盅,,np
teaspoon,茶勺,,np
Tehran,德黑兰,طهران,np
Tel Aviv,特拉维夫,تل أبيب,np
telephone,电话,هاتف,np
temperate,稳健的,,np
temporarily,暂时,,np
ten,十,عشرة,num
ten million,一千万,عشرة ملايين,num
ten thousand,一万,عشرة آلاف,num
Thailand,泰国,تايلاند,np
Thank you for booking in our hotel.,谢谢您预定我们的宾馆。,,sent
"Thank you for waiting, Sir. We have a vacancy for that period.",让您就等了。我们这段时间有房间。,,sent
Thank you for waiting.,谢谢您一直等着。,,sent
Thank you so much.,非常感谢,شكراً جزيلاً,sent
"Thank you, sir. We will extend the reservation for you.",谢谢，先生。我们将为您扩大保留。,,sent
Thank you.,谢谢。,شكراً,sent
That is not a direct flight.,那不是直飞的航班。,,sent
That is really disappointing.,真让人失望。,,sent
That sounds not bad at all. I'll take it.,听起来还不错。这个房间我订了。,,sent
That table is reserved.,那张桌子被预定了。,,sent
That will be * night(s).,那就是*天。,,vp
"That's my number, e-mail.",这里是我的电话号码、电邮。,,sent
That's too expensive.,太贵了。,هذا غال جدا.,sent
"The balance of the fare is * dollars, you have to pay it by yourself.",票价差额为*元，需要你自理。,,vp
The boarding time is *,登机时间是*点。,,vp
The check-in is half an hour earlier than departure.,机场提前半小时检票。,,sent
"The check, please.",请结帐。,الفاتورة، من فضلك.,sent
The current rate is * dollars per night.,现行房费是每天*元。,,vp
the day after tomorrow,后天,بعد غد,np
the day before yesterday,前天,قبل البارحة,np
The delay is due to mechanical difficulties.,延迟出发是因为机械故障。,,sent
The dish I ordered was not fresh.,我点的菜不新鲜。,,sent
The dishes are offered too slowly.,菜上的太慢了。,,sent
The flight is delayed due to bad weather conditions.,由于天气不好航班延误了。,,sent
The food has a funny smell.,这菜闻起来很奇怪。,,sent
The food is off.,这菜变质了。,,sent
The food was dreadful.,这饭菜糟糕透了。,,sent
The fruit and vegetables are over there.,水果和蔬菜在那边。,,sent
The gate number is *,登机门是*号。,,vp
The Gold Coast,在黄金海岸,والذهب الساحل,np
The kitchen is very busy today.,今天厨房很忙。,,sent
The name is *.,名字是*。,,vp
The next flight available is to *.,下一班可以登机的航班是飞往*。,,vp
The one by the window has been taken by others.,靠窗的那张已经有人预订了。,,sent
"The organic vegetables are marked with the blue label. Here, do you see?",有机蔬菜都有蓝色的标签。在这里，看到了吗?,,sent
The overhead compartments are all full.,上面的行李箱都满了。,,sent
"The passengers, in preparation for takeoff, please turn off all electronic devices.",各位乘客请注意，飞机准备起飞了，请关闭所有电子装置。,,sent
The price will go down.,价格将会下降。,,sent
The reservation is under chen.,是用陈的名字预订的。,,sent
The rest is our job. Have a good trip.,余下的是我们的事，祝您旅途愉快。,,sent
The restaurant across the street is excellent.,街对面的那家餐馆不错。,,sent
The restaurant is so popular that you have to wait for one to two hours to get a seat.,这家餐厅太出名了，要等一两个小时才有座位。,,sent
The service is too slow.,这服务太慢了。,,sent
The service was very bad.,这服务太差劲了。,,sent
The table over there has been reserved.,那边那张桌子已经被预定了。,,sent
Then give me a double Western.,那给我来双份西餐吧。,,sent
there,那里,هناك,adv
There are * of us.,一共有*个人,نحن * أشخاص,vp
There are enough seats.,还有很多座位。,,sent
There are no direct flights.,没有直达的航班。,,sent
There is enough time for us for the connection.,我们有足够的时间转飞机。,,sent
There is no price on this item.,这上面没有标价。,,sent
There isn't anything wrong with this food.,这菜没有任何问题。,,sent
There will be no charge for this.,这一份我们不收费。,,sent
There's an airsickness bag in the seat pocket.,在椅兜里有呕吐袋。,,sent
This is overcooked.,这是过度烹饪。,هذا هو أوفيركوكيد.,sent
This is raw.,这是生的。,هذا هو الخام.,sent
The * is too soft.,*太软了。,* ناعم جدا.,vp
The * is too hard.,*太硬了。,* حازم جدا.,vp
eggs,蛋,بيض,np
This is undercooked.,这是未煮熟的。,هذا غير مطبوخ جيدا.,sent
These items are forbidden by law.,这些东西是违禁品。,,sent
Thessaloniki,塞萨洛尼基,سالونيك,np
they,他们,هم,np
they (f),她们,هن,np
they (two people),他们,هما,np
They are in Section B.,它们在B区。,,sent
They are on the chelf right behind you.,就在你身后的货架上。,,sent
They're labeled on the packet.,它们在包装上有标示。,,sent
This food tastes strange.,这菜味道好怪。,هذا الطعام طعم غريب.,sent
This fork is dirty.,这个叉子是脏的。,هذه الشوكة قذرة.,sent
This is chipped.,这杯子有缺口。,هذا مزق.,sent
This is dirty.,这杯子是脏的。,هذا قذر.,sent
This is spotted.,这杯子有斑点。,هذا هو رصدت.,sent
This is stained.,杯子有污垢，这可真倒胃口。,هذا ملطخ.,sent
The * is not working. Can I have a new one?,这副*是坏的，能给我一副新的吗?,* لا يعمل. هل يمكنني الحصول على واحدة جديدة؟,vp
I prefer *.,我更喜欢 *。,أنا أفضل *.,vp
We prefer *.,我们更喜欢 *。,نحن نفضل *.,vp
This Is Designated Non-Smoking Room.,这是指定的禁烟房间。,,sent
This is my luggage.,这是我的行李。,,sent
This is not my order.,这不是我点的菜。,,sent
This is not the right flavor.,这不是正经的味道。,,sent
This is not what I ordered.,这不是我点的菜。,,sent
This is on the house.,这一份由饭店出钱。,,sent
This is supposed to be my seat.,这应该是我的座位了。,,sent
"This is the government's rule. For your own safety and other passangers, we need your understanding and corporation.",这是政府规定的，为了您和其他旅客的安全，请您理解和配合我们的工作。,,sent
This item is not priced.,这上面没有标价。,,sent
This knife doesn't cut.,这把刀不能切了。,,sent
This knife is blunt.,这把刀子钝了。,,sent
This knife is not sparp.,这把刀不锋利了。,,sent
This one is very good.,这个很好。,هذا واحد هو جيد جدا.,sent
This restaurant is famous for the seafood.,这家餐厅以海鲜闻名。,,sent
This restaurant is more expensive than that one.,这家餐馆比那一家贵得多。,,sent
This is not fresh.,这个不新鲜了。,,sent
This meat is burnt.,这份烤肉烧焦了。,,sent
this side up,此面向上,,np
This meat is bloody.,肉带血过多。,,sent
This meat is dry.,肉太硬/干了。,,sent
This meat is underdone.,肉没熟。,,sent
This table is too close to the toilet.,这张桌子离厕所太近。,,sent
This * is filthy.,这个*好脏。,,sent
This was very impressive!,真的很棒！,كان هذا رائعا جدا!,sent
This way please.,这边请。,,sent
this week,这个星期,هذا الأسبوع,np
thousand,一千,ألف,num
three,三,ثلاثة,num
throat,喉咙。,حلق,np
through,通过,,np
Thursday,星期四,يوم الخميس,np
Tianjin,天津,تيانجين,np
ticket confirm,机票确认,,np
ticket office,售票处,,np
Tijuana,蒂华纳,تيخوانا,np
to,前往城市,,np
To *.,去*。,إلى *.,vp
to board a plane,上飞机,,np
to face the wind,迎风,,np
to fly with the wind,顺风,,np
to get off a plane,下飞机,,np
to lose height,降低,,np
toast,吐司,خبز محمص,np
today,今天,اليوم,np
toes,脚指。,أصابع القدم,np
Togo,多哥,ليذهب,np
toilet,厕所,حمام,np
Tokyo,东京,طوكيو,np
toll free,免费通行,,np
tomato juice,番茄汁,,np
tomorrow,明天,غداً,np
Tonga,汤加,تونغا,np
tonic water,通宁水,مياه مقوية,np
toothbrush,牙刷,فرشاة أسنان,np
toothpaste,牙膏,معجون أسنان,np
toothpick,牙签,,np
toothpick tuble,牙签筒,,np
top speed,最高速度,,np
Toronto,多伦多,تورونتو,np
Toulouse,图卢兹,تولوز,np
Towards the *.,靠近*,نحو ال*.,vp
train station,火车站,محطة القطار,np
transfer passengers,中转旅客,,np
transfers,中转,,np
transit,过境,,np
Transit Passenger.,过境旅客。,,sent
travel agency,旅行社,,np
tray,托盘,,np
trident,三叉戟,,np
trillion,一兆,تريليون,num
Trinidad & Tobago,特立尼达和多巴哥,ترينيداد وتوباجو,np
Tripoli,硅藻土,طرابلس,np
Trolley.,行李手推车。,,sent
Try to be there by * and the airport will be crowed.,尽量*到那吧，机场人会很多的。,,vp
Tuesday,星期二,يوم الثلاثاء,np
Tunisia,突尼斯,تونس,np
tupolev,图波列夫,,np
turbulence,飞机颠簸,,np
Turkey,火鸡,ديك رومي,np
Turkmenistan,土库曼斯坦,تركمانستان,np
Turn around please.,请转身。,,sent
Turn Handle.,旋转手柄。,,sent
Turn left.,左拐。,در إلى يسار.,sent
Turn right.,右拐。,در إلى يمين.,sent
Tuvalu,图瓦卢,توفالو,np
TV,电视,‏تلفاز,np
twenty thousand,二万,عشرون الف,num
twin,双胞胎的,,np
two,二,إثنان,num
two hundred,二百,مئتين,num
two thousand,二千,ألفين,num
Two Way Traffic Hotel Parking.,旅馆双向停车场。,,sent
u turn ok,可以U形转弯,,np
U-turn.,掉头。,منعطف.,sent
Uganda,乌干达,أوغندا,np
Ukraine,乌克兰,أوكرانيا,np
umbrella,雨伞,مظلة,np
unbutton your coat,解开外衣扣子,,np
uncle,叔父,,np
undergraduate,大学肆业生,,np
United Arab Emirates,阿联酋,الإمارات العربية المتحدة,np
United Kingdom,英国,المملكة المتحدة,np
United States,美国,الولايات المتحدة الامريكانية,np
Unplug It.,拔去电源插头。,,sent
upstairs,由此上楼,,np
Uruguay,乌拉圭,أوروغواي,np
Use Door Viewer To Identify Callers Prior To Opening Door.,开门前通过猫洞鉴别叫门人身份。,,sent
Uzbekistan,乌兹别克斯坦,أوزبكستان,np
vacant,无人,,np
Valencia,瓦伦西亚,فالنسيا,np
Vancouver,温哥华,فانكوفر,np
vanilla bean latte,拿铁香草,,np
vanilla cappuccino,香草卡布奇诺,,np
Vanuatu,瓦努阿图,فانواتو,np
vase,花瓶,,np
Vatican City,梵蒂冈城,مدينة الفاتيكان,np
vegetables,蔬菜,خضروات,np
Venezuela,委内瑞拉,فنزويلا,np
Venice,威尼斯,مدينة البندقية,np
Victoria,维多利亚,فيكتوريا,np
Vienna,维也纳,فيينا,np
Vietnam,越南,فيتنام,np
vinegar,醋,,np
vip suite,贵宾候机厅,,np
visitors please register,来宾登记,,np
vodka,伏特加,شراب فودكا,np
waist,腰,خصر,np
Wait or stay?,等待还是留下来？,انتظر أو ابقى؟,sent
Wait.,等一下。,انتظر.,sent
Waiter!,服务生！,,sent
Waiter! I have a small problem.,服务生! 我有点问题。,,sent
Waiting And Boarding.,候机和登机。,,sent
waiting hall,候机厅,,np
waiting lounge,候机厅,,np
waiting room,候机厅,,np
"Walk through the security gate, please.",请走过这个安检门。,,sent
Warm Air Hand Drier.,吹风机。,,sent
Warn Children Of The Risk Of Death By Electric Shock.,小心孩童触电死亡。,,sent
Warsaw,华沙,وارسو,np
Watch for the *.,注意*,احذر ال*.,vp
water,水,ماء,np
water glass,水杯,,np
we,我们,نحن,np
We also serve sandwiches and cakes.,我们还供应三明治和蛋糕。,,sent
We Are Committed To Doing What It Takes To Make Your Stay As Comfortable As Possible.,为了让您尽可能舒适我们愿意付出一切。,,sent
We are not responsible for items left over * days.,遗忘物品超过*天我们概不负责。,,vp
We came here before they did. How come they were served first?,我们比他们先到，怎么他们先得到服务?,,sent
We can have another toast for that. Cheers!,为了这个我们再次祝酒，干杯！,,sent
"We could check it in for you ,or you could have it deposited temporarily at our place for up to one month.",您可以办理托运或在我们这儿办理暂存，我们可以替您保留一个月。,,sent
We could grab a quick bite.,我们快找点吃的吧。,,sent
We have a clearance sale today.,我们今天清仓大处理。,,sent
We have a nonstop flight leaving at *.,*点半我们有一个直达航班。,,vp
"We have a selection of orange, apple, grape and lemonade.",我们有橙汁、苹果汁、葡萄汁和柠檬汁。,,sent
We have a table for you now.,现在有桌子了。,,sent
We have enough time to transfer the flight.,我们有足够的时间转飞机。,,sent
We have free samples now.,我们现在有免费试吃。,,sent
"We have single rooms, double rooms, suites and luxury suites, etc.",我们有单人房，双人房，套房和豪华套房等等。,,sent
We have two flights at * and *.,我们有两次航班，*和*的。,,vp
We hope you enjoyed your flight.,我们希望你们满意这次的飞行。,,sent
We hope you understand.,希望您能谅解。,,sent
We lazed the whole afternoon away at a cafe.,我们在一家咖啡馆消磨了整个下午。,,sent
We look forward to seeing you on *.,我们盼望下*见到您。,,vp
We might have cancellations. Could you call us again closer to the date?,或许有人会取消预约，请您接近哪个日期时再打电话好吗?,,sent
We need a table for *.,我们要一张*人桌。,,vp
We need more milk,我们需要买点牛奶,,sent
We need to buy some soya sauce. Which aisle is the soya sauce in?,我们想买一些酱油，酱油在哪一个通道?,,sent
We Promise To Make It Right Or You Won't Pay For That Part Of Your Stay.,我们承诺将立即整改，否则您可以拒绝支付相关服务的费用。,,sent
We took a trip to the *.,我们去*了。,أخذنا رحلة إلى *.,vp
We truly regret the delay. Thank you for your cooperation and patience.,我们对此深表谦意，并感谢您的配合与耐心。,,sent
We were expecting you.,我们正恭候着您呢。,,sent
We will be landing at * airport.,我们即将降落在*机场。,,vp
We will have to be confiscated.,我们必须没收。,,sent
We will inform you of the new departure time as soon as possible. Thank you.,我们将尽快通知您的新班机的起飞时候，谢谢。,,sent
We'd like to sit together.,我们想坐在一起。,,sent
We'd love a table for *.,我们想要张*人桌。,,vp
We'll be leaving on *.,我们*离开。,,vp
"We'll check you by hand, what do you think?",我们用手检，你看如何?,,sent
We'll have the room ready for you.,我们会为您准备好房间。,,sent
We're fully booked.,我们都订满了。,,sent
We're very sorry for the delay.,我们很抱歉延误了这么长时间。,,sent
We've been waiting for an hour.,我们已经等了一个小时了。,,sent
Wednesday,星期三,يوم الأربعاء,np
weight,体重,,np
welcome aboard.,欢迎登机,,np
Welcome.,欢迎光临。,أهلا بك.,sent
well,好,حسنا,adj
well-educated,受过良好教育的,,np
"Well, I'll have a cup of coffee.",好吧，我要一杯咖啡。,,sent
"Well, I've got them.",好的，我记下了。,,sent
Wellington,惠灵顿,ولينغتون,np
west,西,غرب,adv
West Wing,西楼,,sent
wet paint,油漆未干,,np
"What about something else, coffee,tea, juice, coke or beer?",其他的怎么样，咖啡、茶、果汁、可乐、或啤酒?,,sent
What are you looking for?,您在找什么呢?,,sent
What are you studying?,你学的是什么?,,sent
Which fare class?,哪个票价类？,أي فئة أجرة؟,sent
"What coffee would you like,black coffee or white coffee?",你喜欢什么咖啡，黑咖啡还是牛奶咖啡？,,sent
What date will you check in?,你们那天入住?,,sent
"What date, please?",请问订哪一天?,,sent
What do you do for a living?,你做什么工作?,,sent
What do you do there?,你在那里从事什么工作?,,sent
What do you do?,你做什么工作?,,sent
What do you have to drink?,你们这里有什么喝的?,,sent
What do you want exactly?,你到底想买些什么?,,sent
What does it look like?,它是什么样子的?,,sent
What flavor do you like?,你喜欢什么口味?,,sent
What is *?,*是什么？,ما *؟,vp
What is the boarding time?,什么时候登机呢?,,sent
What is the exchange rate?,汇率多少？,ما هو سعر العملة؟,sent
"What is the fare, please?",请问票价是多少?,,sent
What is this called?,这叫什么？,ماذا يدعى هذا؟,sent
What is this?,这是什么？,ما هذا؟,sent
What is your name?,你叫什么名字？,ما اسمك؟,sent
What is your nationality?,你的国籍是哪儿?,,sent
What kind of coffee do you have?,你们这儿有什么咖啡?,,sent
What kind of drinks you got?,你们有什么饮料?,,sent
What kind of room would you like?,你喜欢订哪类房间?,,sent
What kind of seats do you want?,你需要什么样的座位?,,sent
"What kind of tickets do you want, first class or economy?",你要什么类型的票，头等舱还是经济舱?,,sent
What kind of work do you do?,你从事哪类工作?,,sent
What kinds do you have?,你们都有什么果汁?,,sent
What should I do about it?,我该怎么做呢?,,sent
What sort of job do you do at *?,你在*担任什么职务?,,vp
What time do I have to be at the airport?,我什么时候到机场?,,sent
What time do you close?,你们几点开始关门?,,sent
What time do you open?,你们几点开始营业?,,sent
What time do you start check-in?,你们何时开始办理登机手续？,,sent
What time does the inflight movie start?,机上电影什么时候开始播放?,,sent
What time does the plane take off?,飞机何时起飞呢?,,sent
What time is *?,*是什么时候？,ما هو توقيت *؟,vp
What time is it?,现在几点？,كم الساعة؟,sent
What time should I check in?,我应该什么时间办理登机手续呢?,,sent
What time will this bus arrive?,公车什么时候到？,متى ستصل هذه الحافلة؟,vp
What time will this train arrive?,火车什么时候到？,متى سيصل هذا القطار؟,sent
What was the date of the reservation?,保留的日期是什么呢?,,sent
What was your order?,您点的是什么?,,sent
What would you like to drink?,你喝点什么?,,sent
What would you like to have for dinner?,你晚餐吃什么?,,sent
What would you like?,你喜欢什么？,ماذا تحب؟,sent
What would you suggest?,你推荐什么?,,sent
What?,什么？,ماذا؟,sent
What's the baggage allowance?,行李限重是多少?,,sent
What's the fare for an economy class ticket?,经济舱的票价是多少?,,sent
What's the fare to * for the economy class?,去*的经济舱机票多少钱?,,vp
What's the gate number?,在几号门?,,sent
What's the price?,房间的价格是多少?,,sent
What's the rate for a standard room?,标准房间多少钱?,,sent
"What's the rate, please?",请问房费是多少?,,sent
What's up?,干嘛?,,sent
What's wrong with you?,你怎么了?,,sent
What's your flight number?,你的班机号是什么?,,sent
What's your job?,你的工作是什么?,,sent
"What's your name, please?",请问你叫什么名字?,,sent
What's your telephone number?,你的电话号码是多少?,,sent
When am I supposed to check in?,我应该什么时候检票呢?,,sent
When are you leaving?,您何时出发?,,sent
When can I start to check in?,我什么时候开始办理登机手续?,,sent
When can I use my electronic devices?,我什么时候才能使用电子设备?,,sent
When do I have to check out?,何时要退房？,متى يجب علي تسجيل الخروج؟,sent
When do you start to serve dinner?,请问晚餐几点开始供应?,,sent
When does the bus for * leave?,去*的公车什么时候离开？,متى تنطلق الحافلة المتجه إلى*؟,vp
When does the * close?,*什么时候打烊呢？,,vp
When does the train for * leave?,去*的火车什么时候离开？,متى ينطلق القطار المتجه إلى*؟,vp
When does your flight land?,飞机什么时候着陆?,,sent
When is closing time?,几点关门？,ما هو توقيت الإغلاق؟,sent
When is opening time?,几点开门？,ما هو توقيت الافتتاح؟,sent
When is the boarding time?,什么时候登机呢?,,sent
When is the plane due?,飞机什么时候着陆?,,sent
When shall I come to pick up the ticket?,我什么时候来取票?,,sent
When will the connecting flight take off?,衔接的航班什么时候起飞?,,sent
"When You Talk, We Listen.",我们随时倾听您的意见。,,sent
When?,什么时候？,متى؟,sent
Where are our dishes?,我们的菜在那儿呢?,,sent
Where are the dairy products?,乳制品在哪儿?,,sent
Where are the shopping baskets?,购物篮在哪里?,,sent
Where are you from?,你从哪里来的？,من أين أنت؟,sent
Where are you taking me?,你带我去哪里？,إلى أين أنت آخذني؟,sent
Where can I find *?,哪里有*?,أين يمكنني أن أجد؟,vp
Where can I find a baggage trolley?,哪里有行李推车。,,sent
Where can I find the diary products?,乳制品在哪儿?,,sent
Where can I get a baggage trolley?,我在哪儿能得到行李车?,,sent
Where can I get a traveler's check changed?,我在哪里可以兑换这个旅行支票？,أين يمكنني أن أصرّف شيك سياحي؟,sent
Where can I get money changed?,我要在哪里换钱？,أين يمكنني أن أصرّف بعض المال؟,sent
Where can I put my baggage?,我的行李放哪儿呢?,,sent
Where do I board the plane?,我在哪儿登机?,,sent
Where do I go to catch my connecting flight?,我要去哪里赶衔接的航班?,,sent
Where do I pick up the ticket?,我去什么地方拿机票?,,sent
Where do we get tickets?,哪里买车票？,أين يمكننا أن نحصل على تذاكر؟,sent
Where do you work?,你在哪里工作?,,sent
Where does it hurt?,哪里痛？,أين يؤلمك؟,sent
Where does this bus go?,这辆巴士去哪里？,أين تذهب هذه الحافلة؟,sent
Where does this train go?,这列火车去哪里？,أين يذهب هذا القطار؟,sent
Where is an ATM?,提款机在哪里？,أين توجد آلة الصرف الآلي؟,sent
Where is it on the map?,在地图上的哪里？,أين تقع على الخريطة؟,sent
Where is my seat?,我的座位在哪儿?,,sent
Where is seat *?,*号座位在哪儿?,,vp
Where is the * Airlines transfer desk?,*航的转机柜台在哪里?,,vp
Where is the *?,*在哪里？,أين ال*؟,vp
Where is the baggage claim area?,行李领取处在哪儿?,,sent
Where is the bathroom?,洗手间在哪里？,أين الحمام؟,sent
Where is the boarding gate for this flight?,这班飞机的登机口在哪儿?,,sent
Where is the bus to *?,到*的巴士在哪？,أين الحافلة المتجهة إلى *؟,vp
Where is the check-in counter for * Airlines?,请问*航空公司办理登机手续的柜台在哪里?,,vp
Where is the fruit and vegetable section?,水果蔬菜区在哪里?,,sent
Where is the gate?,登机口在哪儿?,,sent
Where is the lavatory?,请问洗手间在哪里?,,sent
Where is the toilet?,厕所在哪里？,أين الحمام؟,sent
Where is the train to *?,到*的火车在哪？,أن القطار المتجه إلى *؟,vp
Where is the transfer desk?,转机柜台在哪儿?,,sent
Where would you like to go for dinner?,你想在哪儿吃饭呢?,,sent
Where would you prefer to sit?,你喜欢坐在哪里?,,sent
Where?,哪里？,اين؟,sent
Where's the * counter?,*柜台在哪里?,أين هو * العداد؟,vp
Which aisle are the canned goods at?,罐头产品在哪条通道?,,sent
Which date would you that be?,要订在哪个日期?,,sent
Which direction?,哪个方向？,بأي اتجاه؟,sent
Which is the movie channel?,哪个是电影频道?,,sent
Which restaurant do you recommend?,你推荐哪家餐厅呢?,,sent
Which station are we at?,我们在哪一站？,نحن في أي محطة؟,sent
"Which would you like for dinner, beef, chicken or fish?",晚餐想吃牛肉、鸡肉还是鱼?,,sent
"Which would you prefer, first class or economy?",你喜欢哪种，头等舱还是经济舱?,,sent
Whirlpool,热水漩涡池,,sent
whiskey,威士忌,شراب الويسكي,np
white,白色,أبيض,adj
white wine,白酒,نبيذ أبيض,np
Who?,谁？,من؟,sent
Why do you like coffee shop?,你为什么喜欢咖啡店?,,sent
Why does this happen to me when I am on the plane? I feel bad.,为什么在飞机上会有这种感觉? 我感觉很难受。,,sent
Why don't you wrap his steak up?,你为什么不打包他的牛排?,,sent
Why is it taking so long for the food to arrive?,为什么上餐要这么久?,,sent
Why is it taking so long?,为什么会这么久?,,sent
Why?,为什么？,لماذا؟,sent
wife,妻子,,np
Wifi Is Available In Public Area In The Hotel.,在酒店的公共场所可以登陆无线英特网。,,sent
Will there be any change in your room type? Your reservation is for a twin room.,您需要变化你的房间类型吗？你预定的是一间双人床的。,,sent
Will this be a one-way trip?,您要单程票吗?,,sent
Will this table be all right?,这张桌行吗?,,sent
Will you give me some discount on tickets?,机票能给我折扣吗?,,sent
Will you please put your suitcase and that box on the belt?,请把你的手提箱和那个盒子放在传送带上好吗?,,sent
Windsor,温莎,ويندسور,np
wineglass,酒杯,,np
Winnipeg,温尼伯,وينيبيغ,np
wipe your shoes and boots,请擦去鞋上的泥土,,np
women,女人,نساء,np
women's bathroom,女厕,,np
work,工作,عمل,np
work experience,工作经历,,np
worker,工人,,np
Would it be possible for us to trade seats?,我们可以交换座位吗?,,sent
Would you like a cup of tea or coffee?,要茶还是咖啡呢?,,sent
Would you like a high chair for your baby?,您想要一个高脚椅给婴儿吗?,,sent
Would you like me to bring a baby chair?,您需要我拿个婴儿椅吗?,,sent
Would you like some cream in your coffee?,你的咖啡要加点奶油吗?,,sent
Would you like some tea or coffee?,喝茶还是喝咖啡？,,sent
Would you like the smoking or non-smoking section?,您喜欢吸烟区还是非吸烟区?,,sent
Would you mind hurrying?,你们能快点吗?,,sent
Would you mind waiting until one is free?,您介意等一下空出桌子吗?,,sent
Would you please bring me a knife and fork?,能给我拿副刀叉吗?,,sent
Would you please help me to get my boarding pass?,可以帮我换登机牌吗?,,sent
Would you please make my reservation to * for tomorrow?,请帮我预订明天去*的机票好吗?,,vp
Would you please serve a little quicker?,能上菜快点吗?,,sent
Would you please show me your ticket and boarding pass?,请出示一下你的机票和登机牌好吗?,,sent
"Would you please tell me your name, telephone and ID number?",能告诉我你的名字、手机号和身份证号码吗?,,sent
Would you prefer a window seat or an aisle seat?,你想要一个靠窗的位子，还是靠过道的?,,sent
Would you prefer sitting inside or outside?,您比较喜欢做里面还是外面?,,sent
Would you take a seat over there and I will call you when a table is free?,您能在那边的座位上等一下，当有空桌时我会通知您好吗?,,sent
"Wrap the steak up for him, so he'll take it with.",打包这份牛排，他要带走。,,sent
wrist,手腕,معصم,np
writing paper,纸,ورق للكتابة,np
Wuhan,武汉,ووهان,np
Yangon,仰光,يانجون,np
Yeah.,是的。,نعم.,vp
year,年,,np
yellow,黄色,أصفر,adj
Yemen,也门,اليمن,np
"Yes, I'll check to see if there's any space left.",好，我查查看还有没有剩余位置。,,sent
"Yes, please.",是，谢谢,نعم من فضلك,sent
"Yes, sir. How can I help you?",来了，先生。有什么需要帮忙的?,,sent
"Yes, there is.",有的。,,sent
"Yes, we do. They're right in front of you.",有的，就在你面前。,,sent
Yes.,是,نعم.,sent
yesterday,昨天,البارحة,np
yield,让路,ينتج,vp
you,你,أنت,np
you (p),你们,أنتم,np
You are welcome. Please press the button when you need any help.,不客气。如果需要什么帮助，请按按钮。,,sent
You can also turn down the air-conditioner.,你还可以调小空调。,,sent
You can either take out something or pay the excess baggage charge.,您可以把一些东西拿出来，或者付行李超重费。,,sent
You can go to the flight connection counter.,您可以去转机柜台。,,sent
You can place the baggage under the seat in front of you.,您可以将行李放在前面的座位下面。,,sent
You can take some airsick pills.,您可以吃点晕机药。,,sent
You can take your baggage now.,您可以拿行李了。,,sent
You can't have any liquid with you.,您不能携带任何液体。,,sent
You can't take it with you into the aircraft.,您不能把它带上飞机。,,sent
You have a lot of baggage.,您有好多行李。,,sent
You have a problem with your attitude.,你的态度有问题。,,sent
You have to be there * hours before departure time.,你要在飞机起飞前两个小时到达那里。,,vp
You have to be there half an hour before departure time.,你应该在飞机起飞之前半个小时到那。,,sent
You look familiar.,你看起来很眼熟。,,sent
You look like one of my friends.,你看起来像我的一个朋友。,,sent
You look like someone I know.,你看起来像我认识的一个人。,,sent
You may check in at the self-service kiosk area in zones *,你可以在G和H区自助服务亭办理登机手续。,,vp
You may choose from the fish and beef.,你可以选择鱼或者是牛肉。,,sent
You may feel much better if you chew some gum or peanuts.,如果嚼点口香糖或花生会感觉舒服些。,,sent
You may go now. Please take your things.,你可以走了，带好你的东西。,,sent
You may look at the menu first and decide what you like to have.,请先看看菜单再决定点什么菜。,,sent
You must be tired after such a long flight.,经过长途飞行后你一定累了。,,sent
You need to transfer at *.,你需要在*转机。,,vp
You should have a sign. That way people could identify which are organic and which aren't.,你们应该要有标识，让顾客知道哪些是有机蔬菜，那些不是。,,sent
You'll be boarding at Gate *,请将在*号登机门登机。,,vp
You'll have to get there by * at the latest.,最晚*到。,,vp
You're cheating me.,你在骗我。,أنت تغشني,sent
You're welcome.,不客气。,على الرحب والسعة,sent
younger brother,弟弟,,np
younger sister,妹妹,,np
Your baggage is overweight.,你的行李超重了。,,sent
Your Comfort Is Our Priority.,您的满意就是我们的宗旨。,,sent
Your dishes are ready.,您的菜准备好了。,,sent
Your flight number is *。,您的航班号是B*。,,vp
Your food is being cooked. I'm afraid it's too late to cancel it.,你的食物正在做，恐怕取消太晚了。,,sent
Your hat and scart can be hung here.,您的帽子和围巾可以挂在这儿。,,sent
Your luggage will be trasferred to your next plane.,您的行李将会转到下一班飞机上。,,sent
Your meal is on the house.,你的餐点由饭店出钱。,,sent
"Your meal, we're really sorry for the delay.",你的菜，我们真的很抱歉耽搁了。,,sent
Your seat is confirmed on flight number * leaving at *。,您的机位以确定，航班号为*，*起飞。,,vp
Your seat is in the middle of the cabin.,您的座位在客舱的中部。,,sent
Your staff was rude.,你的工作人员很粗鲁。,,sent
