,ar,cn,en,pos
1538,,实事求是的,realistic,np
1539,,勤奋的,industrious,np
1540,,有教养的,genteel,np
1541,,工作经历,work experience,np
1542,,职业经历,professionalhistory,np
1543,,擅长于,good at,np
1544,,工作成就，业绩,achievements,np
1545,,笔名,pen name,np
1546,,先生,mr,np
1547,,小姐或太太,ms,np
1548,,身高,height,np
1549,,英尺,ft,np
1550,,血型,bloodtype,np
1551,,生日,birthday,np
1552,,出生日期,date of birth,np
1553,,出生地点,birthplace,np
1554,,地址,address,np
1555,,国籍,citizenship,np
1556,,民族；国籍,nationality,np
1557,,省,province,np
1558,,专区,prefecture,np
1559,,县,county,np
1560,,路,road,np
1561,,胡同，巷,lane,np
1562,,邮政编码,postal code,np
1563,,办公电话,office phone,np
1564,,移动电话,mobile telephone,np
1565,,婚姻状况,marital status,np
1566,,已婚,married,np
1567,,离异,divorced,np
1568,,子女人数,number of children,np
1569,,健康状况,health,np
1570,,近视,short-sighted,np
1571,,学历,education,np
1572,,毕业生,graduate,np
1573,,自费生,commoner,np
1574,,走读生,extern,np
1575,,旁听生,guest student,np
1576,,寄宿生,boarder,np
1577,,大学肆业生,undergraduate,np
1578,,研究生,graduate student,np
1579,,学士,bachelor,np
1580,,博士,doctor,np
1581,,学制,educational system,np
1582,,脱产培训,off-job training,np
1583,,特别训练,special training,np
1584,,所学课程,courses taken,np
1585,,进修课程,refresher course,np
1586,,副修,minor,np
1587,,适应性强的,adaptable,np
1588,,有进取心的,aggressive,np
1589,,和蔼可亲的,amiable,np
1590,,善于分析的,analytical,np
1591,,正直的,candid,np
1592,,老练的，有策略的,diplomatic,np
1593,,守纪律的,disciplined,np
1594,,谦虚的,modest,np
1595,,一丝不苟的,precise,np
1596,,直率的，真诚的,frank,np
1597,,有效率的,efficient,np
1598,,有独创性的,ingenious,np
1599,,受过良好教育的,well-educated,np
1600,,有礼貌的,gentle,np
1601,,守信的，忠诚的,faithful,np
1602,,工作经历,occupational history,np
1603,,具体经历,specific experience,np
1604,,适应于,adapted to,np
1605,,第二职业,second job,np
1606,,配偶,spouse,np
1607,,丈夫,husband,np
1608,,妻子,wife,np
1609,,兄弟,brother,np
1610,,弟弟,younger brother,np
1611,,姐姐,elder sister,np
1612,,双胞胎的,twin,np
1613,,异父(母)之姐妹,stepsister,np
1614,,大伯，小叔，姐夫，妹夫,brother-in-law,np
1615,,孩子,child,np
1616,,女儿,daughter,np
1617,,继女,stepdaughter,np
1618,,养女,adopted daughter,np
1619,,女婿,son-in-law,np
1620,,侄女，外甥女,niece,np
1621,,父母,parents,np
1622,,r母亲，妈妈,mothe,np
1623,,继母,stepmother,np
1624,,养母,foster mother,np
1625,,岳母，婆婆,mother-in-law,np
1626,,婶母，伯母，舅母，姑母,aunt,np
1627,,祖父,grandfather,np
1628,,爷爷,grandpa,np
1629,,孙辈,grandchildren,np
1630,,孙女，外孙女,granddaughter,np
1631,,曾祖父,great-grandfather,np
1632,,叔、伯祖父,great-uncle,np
1633,,曾孙，曾外孙,great-grandson,np
1634,,家庭,family,np
1635,,亲戚,relative,np
1636,,男的,male,np
1637,,代,generation,np
1638,,后代，后辈,offspring,np
1639,,夫妻,couple,np
1640,,前夫,ex-husband,np
1641,,前妻,ex-wife,np
1642,,哥哥,elder brothe,np
1643,,姐妹,sister,np
1644,,妹妹,younger sister,np
1645,,异父(母)之兄弟,stepbrother,np
1646,,堂兄妹，表兄妹,cousin,np
1647,,弟妹,sister-in-law,np
1648,,儿子,son,np
1649,,继子,stepson,np
1650,,养子,adopted son,np
1651,,儿媳,daughter-in-law,np
1652,,侄儿，外甥,nephew,np
1653,,父亲,father,np
1654,,爸爸,dad,np
1655,,继父,stepfather,np
1656,,养父,foster father,np
1657,,岳父，公公,father-in-law,np
1658,,叔父，伯父，舅父，姑父,uncle,np
1659,,祖母,grandmother,np
1660,,奶奶,grandma,np
1661,,孙子,grandson,np
1662,,曾祖母,great-grandmother,np
1663,,叔、伯祖母,great-aunt,np
1664,,曾孙女，曾外孙女,great-granddaughter,np
1665,,婚姻,marriage,np
1666,,女的,female,np
1667,,世系，血统,descent,np
1668,,祖先,ancestor,np
1669,,继承人,heir,np
1670,صفر,零,zero,num
1671,واحد,一,one,num
1672,إثنان,二,two,num
1673,ثلاثة,三,three,num
1674,أربعة,四,four,num
1675,خمسة,五,five,num
1676,ستة,六,six,num
1677,سبعة,七,seven,num
1678,ثمانية,八,eight,num
1679,تسعة,九,nine,num
1680,عشرة,十,ten,num
1681,مائة,一百,hundred,num
1682,مئتين,二百,two hundred,num
1683,خمس مائة,五百,five hundred,num
1684,ألف,一千,thousand,num
1685,ألفين,二千,two thousand,num
1686,عشرة آلاف,一万,ten thousand,num
1687,عشرون الف,二万,twenty thousand,num
1688,خمسون ألف,五万,fifty thousand,num
1689,مائة ألف,十万,hundred thousand,num
1690,مليون,一百万,million,num
1691,عشرة ملايين,一千万,ten million,num
1692,مائة مليون,一亿,hundred million,num
1693,مليار‎,十亿,billion,num
1694,تريليون,一兆,trillion,num
1695,من فضلك أعطني * و *.,请给我*和*。,"* and * , please.",vp
1696,‏* أيام,*天,* day(s),prt
1697,‏* ساعات,*个小时,* hour(s),prt
1698,* لا يعمل,坏了,* is not working.,vp
1699,‏* دقائق,*分钟,* minute(s),prt
1700,*  أشهر,*个月,* month(s),prt
1701,‏* أسبوع,*个星期,* week(s),prt
1702,‏* سنوات,*年,* year(s),prt
1703,قارورة,一瓶,a bottle,np
1704,كأس من النبيذ,一杯酒,a glass of wine,np
1705,نصف لتر,一品脱,a pint,np
1706,طاولة ل * شخص,*人的座位,a table for * people,np
1707,بطن,腹部,abdomen,np
1708,بعد,之后,after,adv
1709,بعد الظهر,下午,afternoon,np
1710,مكيف هواء,空调,airconditioner,np
1711,طائرة,飞机,airplane,np
1712,مطار,机场,airport,np
1713,هل أنا معتقل؟,我被捕了吗？,Am I under arrest?,sent
1714,أبريل,四月,April,np
1715,قريب من هنا,转角,Around the corner.,sent
1716,أغسطس,八月,August,np
1717,سبيل,大道,avenue,np
1718,ظهر,背,back,np
1719,مشرب,酒吧,bars,np
1720,‏حمام,卫生间,bathroom,np
1721,بطارية,电池,batteries,np
1722,فول,豆,beans,np
1723,ملاءات السرير,床单,bedsheets,np
1724,لحم بقري,牛肉,beef,np
1725,بيرة,啤酒,beer,np
1726,قبل,以前,before,adv
1727,أكبر,更大,bigger,adj
1728,أسود,黑色,black,adj
1729,فلفل أسود,黑胡椒,black pepper,np
1730,شاي أسود,红茶,black tea,np
1731,أزرق,蓝色,blue,adj
1732,الجسم,身体,body,np
1733,ماء مغلي,开水,boiled water,np
1734,مياه معبأة,矿泉水,bottled water,np
1735,خبز,面包,bread,np
1736,وجبة افطار,早饭,breakfast,np
1737,بني,褐色,brown,adj
1738,محطة حافلات,公家车站,bus station,np
1739,زبدة,牛油,butter,np
1740,مؤخرة,屁股,buttocks,np
1741,مقهى,咖啡室,cafe,np
1742,هل استطيع الحصول على حقيبة؟,我可以要一个袋子吗？,Can I get a bag?,sent
1743,هل أستطيع الحصول على تأمين؟,我可以买保险吗？,Can I get insurance?,sent
1744,هل استطيع دفع غرامة أدفع غرامة الآن؟,我可以缴交罚款吗？,Can I just pay a fine now?,sent
1745,قائمة الطعام، من فضلك؟,请给我看看菜单.,"Can I look at the menu, please?",sent
1746,هل يمكنني الحصول على مكالمة هاتفية؟,我可以打个电话吗？,Can I make a telephone call?,sent
1747,هل يمكنني حجز موعد؟,我可以预约吗？,Can I make an appointment?,sent
1748,هل استطيع القيام بمكالمة دولية من هنا؟,可以打国际电话吗?,Can I make international calls here?,sent
1749,هل يمكنني الطبع من هنا؟,我可以复印吗？,Can I print here?,sent
1750,أيمكنني إستخدام هاتفك؟,我可以用您的手机吗？,Can I use your cell phone?,sent
1751,أيمكنني استخدام هاتفك النقال؟,我可以用您的电话吗？,Can I use your phone?,sent
1752,هل يمكنك تحويل مال لي؟ ,你可以帮我换钱吗？,Can you change money for me?,sent
1753,هل يمكنك أن تحضر طبيب؟,你可以帮我找一位医生吗？,Can you get a doctor?,sent
1754,هل يمكنك أن تريني أين هو على الخريطة؟,你可以在地图上指给我看?,Can you show me on the map?,sent
1755,عل يمكنك تحدث ال*؟,你可以说*吗？,Can you speak *?,vp
1756,هل يمكنك اقتراح فندق آخر؟,你有其他推荐的酒店吗？,Can you suggest another hotel?,sent
1757,اين *؟,你可以告诉我*在那里吗？,Can you tell me where * is?,vp
1758,هل تستطيع إيقاظي الساعة *؟,请在明天早上*点钟叫醒我。,Can you wake me at *?,vp
1759,هل يمكنك أن تكتب لي الإسم و العنوان؟,你可以写下名字和地址吗？,Can you write the name and address down?,sent
1760,سيارة,汽车,car,np
1761,مياه غازية,碳酸水,carbonated water,np
1762,أوراق مالية,现金,cash,np
1763,رخيص,便宜,cheap,adj
1764,أرخص,比较便宜,cheaper,adj
1765,شيك,支票,check,np
1766,جبنة,奶酪,cheese,np
1767,صدر,胸部,chest,np
1768,دجاج,鸡,chicken,np
1769,أنظف,清洁工,cleaner,np
1770,مغلق,关闭,closed,adj
1771,صودا,苏打水,club soda,np
1772,قهوة,咖啡,coffee,np
1773,الكولا,可乐,Coke,np
1774,دواء للزكام,感冒药,cold medicine,np
1775,سعال,咳嗽,cough,np
1776,لو سمحتو هل يمكنك أن *؟,可以请你*吗？,Could you please *?,vp
1777,هل يمكنك أن تكرر هذا؟,你可以重复一遍吗？,Could you repeat that?,sent
1778,بطاقة ائتمان,信用卡,credit card,np
1779,ديسمبر,十二月,December,np
1780,وديعة,押金,deposit,np
1781,إسهال,泻肚子/拉肚子,diarrhoea,np
1782,قاموس,词典,dictionary,np
1783,ديزل‎ سولار‎ جاز,柴油,diesel,np
1784,هل تقبل العملة *؟,你接受*的货币吗？,Do you accept * currency?,vp
1785,هل تقبل بطاقات الائتمان؟,你接受信用卡吗？,Do you accept credit cards?,sent
1786,هل تقبل الدولار الأمريكي؟,你接受美元吗？,Do you accept US dollars?,sent
1787,هل تذهب إلى *؟,去不去*?,Do you go to *?,vp
1788,هل لديك خزنة؟,你们有没有保险箱？,Do you have a safe?,sent
1789,هل لديك قائمة بالإنجليزية؟,你有没有英文菜单？,Do you have an English menu?,sent
1790,هل لديك أي غرف متاحة؟,你们还有房间吗？,Do you have any rooms available?,sent
1791,هل لديك أي وجبات خفيفة؟,有没有小吃？有没有点心？,Do you have any snacks?,sent
1792,هل لديك تأمين؟,你有保险吗？,Do you have insurance?,sent
1793,هل لديك لون آخر؟,你们有没有另外的颜色?,Do you have it in another color?,sent
1794,هل لديكم من هذه بمقاسي؟,有没有我的尺寸？,Do you have this in my size?,sent
1795,هل تعلم *؟,你知道*吗？,Do you know *?,vp
1796,هل تقدمون أي خمور؟,你们销售酒精类饮品吗？,Do you serve alcohol?,sent
1797,هل هن,可以邮寄到海外吗？,Do you ship overseas?,sent
1798,هل هناك شحن دولى؟,你会说英语吗？,Do you speak English?,sent
1799,هل تقبلون عملة *؟,*元可以吗？,Do you take * currency?,vp
1800,مفهوم؟,听得懂吗？,Do you understand?,sent
1801,هل هذا يشمل وجبة الافطار؟,早餐包含在内吗？,Does that include breakfast?,sent
1802,هل تحتوي هذه الغرفة على *؟,这个房间有没有*？,Does the room come with *?,vp
1803,هل تتوقف هذه الحافلة في *؟,这辆巴士停在*吗？,Does this bus stop in *?,vp
1804,هل يتوقف هذا القطار في *؟,这列火车停在*吗？,Does this train stop in *?,vp
1805,لا تلمسني!,不要碰我！,Don't touch me!,sent
1806,وسط البلد,市中心,downtown,np
1807,رخصة قيادة,驾驶证件,driver's license,np
1808,زلابية,饺子,dumpling,np
1809,آذان,耳朵,ears,np
1810,شرق,东,east,adj
1811,بيض,鸡蛋,eggs,np
1812,كتب إنجليزية,英文书,English books,np
1813,مجلات انجليزية,英文杂志,English magazines,np
1814,جريدة إنجليزية,英文报纸,English newspaper,np
1815,دخول,入口,entrance,np
1816,مساء,晚上,evening,np
1817,ممتاز!,太棒了！,Excellent!,sent
1818,أعذرني,打扰一下。,Excuse me. (begging pardon),sent
1819,لو سمحت,对不起。,Excuse me. (coming through),sent
1820,معذرة,请问。,Excuse me. (getting attention),sent
1821,خروج,出口,exit,np
1822,غالي,贵,expensive,adj
1823,عيون,眼睛,eyes,sent
1824,وجه,脸,face,np
1825,فبراير,二月,February,np
1826,أقدام,脚,feet,np
1827,حمة,发烧,fever,np
1828,بخير، شكرا لك.,"很好, 谢谢。","Fine, thank you.",sent
1829,أصابع,手指,fingers,np
1830,مقصورة درجة أولى,头等舱,first class cabin,np
1831,سمك,鱼,fish,np
1832,وجبة ثابتة السعر,定价套餐,fixed-price meal,np
1833,ممنوع,被禁止,forbidden,adj
1834,يوم الجمعة,星期五,Friday,np
1835,أرز مقلي,炒饭,fried rice,np
1836,من,从,from,prt
1837,فاكهة,水果,fruits,np
1838,محطة بنزين,加油站,gas station,np
1839,نظارات,眼镜,glasses,np
1840,ذهب,去,go,vp
1841,انطلق الى الأمام.,直走,Go straight.,sent
1842,ذهب,金色,gold,adj
1843,مساء الخير.,晚上好。,Good evening.,sent
1844,صباح الخير.,早安。,Good morning.,sent
1845,تصبح على خير,晚安。,Good night.,sent
1846,مع السلامة,再见。,Goodbye,sent
1847,باي باي,拜拜。,Goodbye (informal),sent
1848,أخضر,绿色,green,adj
1849,شاي أخضر,绿茶,green tea,np
1850,رمادي,灰色,grey,adj
1851,شعر,头发,hair,np
1852,نصف,半,half,adj
1853,خنزير,火腿,ham,np
1854,أيادي,手,hands,np
1855,هو,他,he,np
1856,رئس,头,head,np
1857,مدفأة,暖气,heater,np
1858,مرحبا.,你好。,Hello.,sent
1859,النجدة!,救命！,Help!,sent
1860,هنا,这里,here,adv
1861,هل أنت(ي) هنا لوحدك؟,你自己一个人吗？,Here by yourself?,sent
1862,فندق,酒店／旅馆,hotel,np
1863,كيف حالك,你好吗？,How are you?,sent
1864,كيف أصل إلى *؟,怎么去*?,How do I get to * ?,vp
1865,كم سيكلفني الذهاب إلى *؟,去*要多少钱？,How much does it cost to get to *?,vp
1866,ما سعر الغرفة لفرد واحد؟,单人房一晚多少钱？,How much is a room for one person per night?,sent
1867,ما سعر الغرفة لفردين؟,双人房一晚多少钱？,How much is a room for two people per night?,sent
1868,ما سعر التذكرة الى *؟,去*的票多少钱？,How much is a ticket to *?,vp
1869,ما السعر للساعة؟,一小时是多少钱？,How much is it per hour?,sent
1870,ما سعر المكالمة الى *؟,打给*是多少钱？,How much is it to call to *?,vp
1871,ما سعر تذكرة الدخول؟,入场费多少钱？,How much is it to get in?,sent
1872,بكم هذا؟,多少钱？,How much is this?,sent
1873,بكم؟,多少？,How much?,sent
1874,كيف كانت وجبتك؟,这一顿饭怎么样？,How was your meal?,sent
1875,انا,我,I,np
1876,أنا من *.,我从*来。,I am from *.,vp
1877,انا مريض,我生病了。,I am sick.,sent
1878,لا أستطيع تحمل هذا,我付不起。,I can't afford it.,sent
1879,لا اتكلم *.,我不会讲*。,I can't speak *.,vp
1880,لا آكل *.,我不吃*。,I don't eat *.,vp
1881,ليس عندي *.,我没有*。,I don't have *.,vp
1882,لا أتحدث *.,我不能说*。,I don't speak *.,vp
1883,أنا لا أفهم,我听不懂。,I don't understand (something heard).,sent
1884,لا أريد *.,我不要*。,I don't want *.,vp
1885,أنا لا أريده,我不要。,I don't want it.,sent
1886,لدي *.,我有*。,I have *.,vp
1887,لقد وصلت.,我到了。,I have arrived.,sent
1888,ما عملت اشي غلط.,我没有做错事。,I haven't done anything wrong.,sent
1889,فقدت *.,我丢了我的*。,I lost my *.,vp
1890,فقدت حقيبتي.,我丢了我的包包。,I lost my bag.,sent
1891,احتاج *.,我要*。,I need *.,vp
1892,أحتاج طبيب.,我需要医生。,I need a doctor.,sent
1893,أ حتاج أن أرى جواز سفرك,我需要看一下你的护照。,I need to see your passport.,sent
1894,أريد التحدث مع محامي,我要跟律师联系。,I need to talk to a lawyer.,sent
1895,أحتاج مساعدة لو سمحت.,我需要你的帮助。,I need your help.,sent
1896,أنا آكل الطعام الحلال فقط.,我只吃清真食品。,I only eat Halal food.,sent
1897,أريد *.,我想要*。,I want *.,vp
1898,أريد أن آكل طبق مع *.,我想吃*的菜。,I want a dish with *.,vp
1899,أريد أن أدفع لاغادر.,我要退房。,I want to check out.,sent
1900,أريد ايجار سيارة.,我想要租车。,I want to rent a car.,sent
1901,أود بالتحدث مع سّفارة *.,我希望跟*大使馆联系。,I want to talk to the * embassy.,vp
1902,سأقيم * ليلى,我打算住*夜。,I will stay for * night(s).,vp
1903,أعمل في *.,我在*工作。,I work at the *.,vp
1904,أريد ايجار سيارة.,我想租车,I'd like to rent a car.,sent
1905,سأتصل بالشرطة‏ ‎.,我会叫警察。,I'll call the police.,sent
1906,أنا نباتي.,我吃素的。,I'm a vegetarian.,sent
1907,لقد انتهيت.,我完成了。,I'm finished.,sent
1908,أبحث عن *.,我在找*,I'm looking for *.,vp
1909,أنا تائه.,我迷路了。,I'm lost.,sent
1910,أنا لست على ما يرام.,我不舒服,I'm not feeling well.,sent
1911,أنا لست مهتم.,我没有兴趣。,I'm not interested.,sent
1912,انا مريض.,我生病了。,I'm sick.,sent
1913,أنا آسف.,对不起。,I'm sorry.,sent
1914,أنا مع *.,我现在跟*在一起,I'm with *.,vp
1915,إنني مصاب.,我受伤了。,I've been injured.,sent
1916,أنا فقدت *.,我的*不见了,I've lost *.,vp
1917,تقاطع,交界,intersection,np
1918,هل يتضمن ذلك الإفطار؟,包含早餐吗？,Is breakfast included?,sent
1919,هل هذا شامل التأمين؟,包含保险吗？,Is insurance included?,sent
1920,هل هو مفتوح *؟,*对外开放吗？,Is it open on *?,vp
1921,هل هناك * قريب؟,附近有没有*,Is there * around here?,vp
1922,هل هناك * تنصحني به؟,你有推介的*吗？,Is there * you recommend?,vp
1923,هل هناك خصم للمجموعات؟,有没有团体折扣？,Is there a group discount?,sent
1924,هل هناك تخصص محلي؟,有没有当地特色？,Is there a local specialty?,sent
1925,هل هناك خصم للطلاب؟,有没有学生优惠？,Is there a student discount?,sent
1926,هل هناك مكان أترك فيه أغراضي؟,有没有地方让我放行李？,Is there anywhere I can leave luggage?,sent
1927,هل هناك أحد يتحدث الانجليزية؟,这里有人会说英语吗？,Is there someone here who speaks English?,sent
1928,هل هناك خدمة طاولات؟,有没有餐桌服务？,Is there table service?,sent
1929,هل هذا المقعد خالى؟,这里有人坐吗？,Is this seat free?,sent
1930,أشعر بالألم هنا.,这里很痛,It hurts here.,sent
1931,هي التاسعة صباحاً,现在是早上9点钟。,It is nine in the morning.,sent
1932,كان سوء تفاهم,这是误会。,It was a misunderstanding.,sent
1933,كان لذيذ‏ ‎,很好吃。,It was delicious.,sent
1934,إنها حالة طارئة.,这是紧急情况。,It's an emergency.,sent
1935,لا بأس,没关系。,"It's okay. (polite response to ""I'm sorry"")",sent
1936,إنه غير مريح.,不舒服。,It's uncomfortable.,sent
1937,يحكك,痒,itchy,adj
1938,يناير,一月,January,np
1939,عصير,果汁,juice,np
1940,يوليو,七月,July,np
1941,يونيو,六月,June,np
1942,الأسبوع الماضي,上个星期,last week,np
1943,لاحقاً,迟一点,later,adv
1944,اتركني وحدي.,不要打扰我。,Leave me alone.,sent
1945,يسار,左边,left,adv
1946,أرجل,腿,legs,np
1947,اقل,少,less,adj
1948,أقل من,少于,less than,adj
1949,خزانات,储物柜,lockers,np
1950,انتبه!,小心！,Look out!,sent
1951,غداء,午饭,lunch,np
1952,معكرونة,通粉,macaroni,np
1953,مارس,三月,March,np
1954,مايو,五月,May,np
1955,هل لي بالحصول على قارورة *؟,可以来一瓶*吗？,May I have a bottle of *?,vp
1956,هل لي بالحصول على كوب من *؟,可以来一杯*吗？,May I have a cup of *?,vp
1957,هل لي بالحصول على كأس من *؟,可以来一杯*吗？,May I have a glass of *?,vp
1958,هل لي بالحصول على القليل من *؟,可以来一点*吗？,May I have some *?,vp
1959,هل لي بالسؤال، ما هو اسمك؟,请问你叫什么名?,"May I please ask, what is your name?",sent
1960,هل لي برؤية الغرفة أولاً؟,请问我可以先看一下房间吗？,May I see the room first?,sent
1961,أنا أيضاً,我也是,Me too.,sent
1962,طارئ طبي,医疗急诊,Medical emergency,np
1963,رجال,男人,men,np
1964,منتصف الليل,半夜,midnight,np
1965,حليب,牛奶,milk,np
1966,الاثنين,星期一,Monday,np
1967,مال,金钱,money,np
1968,أكثر,更,more,adj
1969,أكثر من,多于,more than,adj
1970,صباح,早上,morning,np
1971,لحم الضأن,羊肉,mutton,np
1972,أنا اسمي *.,我叫 * 。,My name is * .,vp
1973,"أظافر (fingernails), مسامير (hammering nails) ",指甲,nails,np
1974,الهوية الوطنية,证件,national ID,np
1975,رقبة,脖子,neck,np
1976,جرائد,报纸,newspaper,np
1977,الأسبوع القادم,下个星期,next week,np
1978,سعيد بالتعرف عليك,很高兴认识你。,Nice to meet you.,sent
1979,ليلة,晚上,night,np
1980,ممنوع الوقوف,禁止停车,No parking.,sent
1981,لا، شكراً.,不用了，谢谢。,"No, thank you.",sent
1982,لا.,不要,No.,sent
1983,الشعيرية,面条,noodles,np
1984,الظهيرة,中午,noon,np
1985,شمال,北,north,adv
1986,أنف,鼻子,nose,np
1987,ليس بعيد جداً,不太远,Not too far.,sent
1988,نوفمبر,十一月,November,np
1989,الآن,现在,now,adv
1990,رقم *,数字,Number *.,vp
1991,أكتوبر,十月,October,np
1992,حسناً، سآخذه.,我要买这个。,"OK, I'll take it.",sent
1993,حسناًً,好的,Okay.,sent
1994,واحد إضافي، من فضلك.,请再给我一个。,"One more, please.",sent
1995,الساعة الواحدة صباحاً,凌晨一点钟,one o'clock AM,np
1996,الساعة الواحدة مساءً,下午一点钟,one o'clock PM,np
1997,تذكرة واحدة إلى *.,要一张去*的票，谢谢,"One ticket to *, please.",vp
1998,اتجاه واحد,单行道,one way,adv
1999,مفتوح,开,open,adj
2000,"برتقالي (the color or the adjective), برتقال (the fruit)",橙色,orange,np
2001,عصير برتقال,柳橙汁,orange juice,np
2002,مسكن ألم,止痛药,pain killer,np
2003,مؤلم,痛。,painful,adj
2004,عذراً/معذرة؟,可以再重复一遍吗？,Pardon me?,sent
2005,جواز سفر,护照,passport,np
2006,بعد ال*. / بعد أن تتخطى ال*.,传*,Past the *.,vp
2007,ادفع,付,pay,vp
2008,قلم حبر,笔,pen,np
2009,قلم رصاص,铅笔,pencil,np
2010,بترول,汽油,petrol,np
2011,من فضلك نظف غرفتي.,请清洁我的房间,Please clean my room.,sent
2012,من فضلك نظف الصحون.,请洗干净这些碟子,Please clear the plates.,sent
2013,أرجوك، تعال/تعالي معي.,请跟我过来,Please come with me.,sent
2014,من فضلك أعطني *.,请给我*。,Please give me *.,vp
2015,من فضلك شغل المكيف الهوائي.,请把空调开大一点。,Please turn up the AC., sent
2016,من فضلك استعمل آلة السحب ببطاقة الائتمان.,请打表。,Please use the meter machine.,sent
2017,من فضلك,请。,Please.,adv
2018,الشرطة,警察,police, np
2019,لحم خنزير,猪肉,pork,np
2020,طابع بريدي,邮票,postage stamp,np
2021,بطاقة بريدية,明信片,postcard,np
2022,اسحب,拉,pull,vp
2023,بنفسجي,紫色,purple,adj
2024,ادفع,推,push,adv
2025,هادئ,安静,quiet,adj
2026,موس حلاقة,剃刀,razor,np
2027,أحمر,红色,red,adj
2028,نبيذ أحمر,红酒,red wine,np
2029,مطعم,餐厅,restaurant,np
2030,أرز,米饭,rice,np
2031,يمين,右边,right,part
2032,شارع,路,road,np
2033,شراب مسكر كحولي (رم),朗姆酒,rum,np
2034,سيلان الأنف,流鼻涕,runny nose,np
2035, سلطة,沙拉,salad,np
2036,ملح,盐,salt,np
2037,يوم السبت,星期六,Saturday,np
2038,سجق,香肠,sausage,np
2039,شاي معطر,花茶,scented tea,np
2040,مقصورة الدرجة الثانية,二等舱,second class cabin,np
2041,أراك لاحقاً.,待会见,See you later.,sent
2042,سبتمبر,九月,September,np
2043,شامبو,洗发精,shampoo,np
2044,هي,她,she,np
2045,كتف,肩膀,shoulder,np
2046, أرني.,给我看一下。,Show me.,sent
2047,مواقع لترى,景点,sites to see,np
2048,ببطء,慢慢的,slowly,adv
2049,عطسة,打喷嚏,sneeze,np
2050,صابون,肥皂,soap,np
2051,المزيد من *، من فضلك.,再多一点*，谢谢,"Some more *, pelase.",vp
2052,ملتهب,酸,sore,adj
2053,حساء,汤,soup,np
2054,جنوب,南,south,adv
2055,حد السرعة,速度限制,speed limit,np
2056,دواء للمعدة,肠胃药,stomach medicine,np
2057,قف,停,stop (on a street sign),sent
2058,توقف! لص/سارق‏! ‎,住手！小偷！,Stop! Thief!,sent
2059,توقف,停。,Stop.,sent
2060,إلى الأمام,往前走,straight ahead,sent
2061,شارع,街,street,np
2062,سكر,糖,sugar,np
2063,مرهم حماية من حروق الشمس,防晒乳,sunblock lotion,np
2064,الأحد,星期天,Sunday,np
2065,العشاء,晚饭,supper,np
2066,خذني إلى هناك من فضلك.,请带我到那里。,"Take me there, please.",sent
2067,خذني إلى *، من فضلك.,请您开到*。,"Take me to *, please.",vp
2068,سدادة قطنية للدورة ,卫生棉条,tampon,np
2069,تاكسي,出租车,taxi,np
2070,سائق تاكسي,出租车司机,Taxi driver,np
2071,شاي,茶,tea,np
2072, هاتف,电话,telephone,np
2073,شكراً جزيلاً,非常感谢,Thank you so much.,sent
2074,شكراًً,谢谢。,Thank you.,sent
2075,هذا غال جدا.,太贵了。,That's too expensive.,sent
2076,الفاتورة، من فضلك.,请结帐。,"The check, please.",sent
2077,بعد غد,后天,the day after tomorrow,np
2078,قبل البارحة,前天,the day before yesterday,np
2079,هناك,那里,there,adv
2080,نحن * أشخاص,一共有*个人,There are * of us.,vp
2081,هن,她们,they (f),np
2082,هم,他们,they,np
2083,هما,他们,they (two people),np
2084,كان هذا رائعا جدا!,真的很棒！,This was very impressive!,sent
2085,هذا الأسبوع,这个星期,this week,np
2086,حلق,喉咙。,throat,np
2087,يوم الخميس,星期四,Thursday,np
2088,إلى *,去*,To *.,vp
2089,خبز محمص,吐司,toast,np
2090, اليوم,今天,today,np
2091,أصابع القدم,脚指。,toes,np
2092,حمام,厕所,toilet,np
2093,غداً,明天,tomorrow,np
2094,مياه مقوية,通宁水,tonic water,np
2095,فرشاة أسنان,牙刷,toothbrush,np
2096,معجون أسنان,牙膏,toothpaste,np
2097,نحو ال*.,靠近*,Towards the *.,vp
2098,محطة القطار,火车站,train station,np
2099,يوم الثلاثاء,星期二,Tuesday,np
2100,در إلى يسار.,左拐。,Turn left.,sent
2101,در إلى يمين.,右拐。,Turn right.,sent
2102,‏تلفاز,电视,TV,np
2103,منعطف.,掉头。,U-turn.,sent
2104,مظلة,雨伞,umbrella,np
2105,خضروات,蔬菜,vegetables,np
2106,شراب فودكا,伏特加,vodka,np
2107, خصر,腰,waist,np
2108,انتظر أو ابقى؟,等待还是留下来？,Wait or stay?,sent
2109,انتظر.,等一下。,Wait.,sent
2110,احذر ال*.,注意*,Watch for the *.,vp
2111,ماء,水,water,np
2112,نحن,我们,we,np
2113,يوم الأربعاء,星期三,Wednesday,np
2114,غرب,西,west,adv
2115,ما هو سعر العملة؟,汇率多少？,What is the exchange rate?,sent
2116,ماذا يدعى هذا؟,这叫什么？,What is this called?,sent
2117,ما هذا؟,这是什么？,What is this?,sent
2118,ما اسمك؟,你叫什么名字？,What is your name?,sent
2119,ما هو توقيت *؟,*是什么时候？,What time is *?,sent
2120,كم الساعة؟,现在几点？,What time is it?,sent
2121,متى ستصل هذه الحافلة؟,公车什么时候到？,What time will this bus arrive?,vp
2122,متى سيصل هذا القطار؟,火车什么时候到？,What time will this train arrive?,sent
2123,ماذا؟,什么？,What?,sent
2124,متى يجب علي تسجيل الخروج؟,何时要退房？,When do I have to check out?,sent
