en,cn,ar,pos,,
Thank you.,谢谢。,شكراً.,sent,,
That is not a direct flight.,那不是直飞的航班。,هذه ليست رحلة مباشرة.,sent,,
That is really disappointing.,真让人失望。,إن هذا فعلاً مخيب للآمال,sent,,
That sounds not bad at all. I'll take it.,听起来还不错。这个房间我订了。,إن هذا لا يبدو سيئاً على الإطلاق. سآخذه.,sent,,
That table is reserved.,那张桌子被预定了。,تلك الطاولة محجوزة,sent,,
That will be * night(s).,那就是*天。,ذلك سيكون * ليلة/ليال.,sent,,
"That's my number, e-mail.",这里是我的电话号码、电邮。,ذلك رقمي، البريد الإلكتروني.,sent,,
That's too expensive.,太贵了。,إن هذا غالي جداً,sent,,
"The balance of the fare is * dollars, you have to pay it by yourself.",票价差额为*元，需要你自理。,رصيد الأجرة هو * دولار ، عليك أن تدفعه بنفسك.,vp,,
The boarding time is *,登机时间是*点。,وقت الصعود هو *.,vp,,
The check-in is half an hour earlier than departure.,机场提前半小时检票。,تسجيل الدخول يبدأ قبل نصف ساعة من الإقلاع.,sent,,
"The check, please.",请结帐。,الفاتورة، من فضلك.,sent,,
The current rate is * dollars per night.,现行房费是每天*元。,معدل سعر الحجز هو * دولار لليلة.,vp,,
the day after tomorrow,后天,بعد غد,np,,
the day before yesterday,前天,قبل البارحة,np,,
The delay is due to mechanical difficulties.,延迟出发是因为机械故障。,التأجيل نتيجة عراقل ميكانيكية,sent,,
The dish I ordered was not fresh.,我点的菜不新鲜。,الطبق الذي طلبته لم يكن طازجاً,sent,,
The dishes are offered too slowly.,菜上的太慢了。,الأطباق تخدم ببطء كبير,sent,,
The flight is delayed due to bad weather conditions.,由于天气不好航班延误了。,الطائرة تأجلت بسبب الأحوال الجوية السيئة,sent,,
The food has a funny smell.,这菜闻起来很奇怪。,الطعام له رائحة غريبة.,sent,,
The food is off.,这菜变质了。,الطعام مطفأ,sent,,
The food was dreadful.,这饭菜糟糕透了。,الطعام كان مُرَوِّعاً.,sent,,
The fruit and vegetables are over there.,水果和蔬菜在那边。,الخضروات والفواكه هناك.,sent,,
The gate number is *,登机门是*号。,رقم البوابة هو *.,vp,,
The Gold Coast,在黄金海岸,الساحل الذهبي,np,,
The kitchen is very busy today.,今天厨房很忙。,المطبخ مشغول جدا ً اليوم,sent,,
The name is *.,名字是*。,الاسم هو *.,vp,,
The next flight available is to *.,下一班可以登机的航班是飞往*。,الرحلة الجوية المتوفرة متجهة إلى *.,sent,,
The one by the window has been taken by others.,靠窗的那张已经有人预订了。,هذه التي بجانب النافذة قد أُخِذَت من قِبَل أشخاص آخرين.,sent,,
"The organic vegetables are marked with the blue label. Here, do you see?",有机蔬菜都有蓝色的标签。在这里，看到了吗?, الخضروات العضوية معلمة بطابع أزرق. هنا، هل ترى؟,sent,,
The overhead compartments are all full.,上面的行李箱都满了。,المقصورات العلوية ممتلئة,sent,,
"The passengers, in preparation for takeoff, please turn off all electronic devices.",各位乘客请注意，飞机准备起飞了，请关闭所有电子装置。,الركاب، تحضيراً للإقلاع، يرجى إطفاء جميع الأجهزة الإلكترونية.,sent,,
The price will go down.,价格将会下降。,السعر سينخفض,sent,,
The reservation is under chen.,是用陈的名字预订的。,الحجز تحت اسم جن,sent," What does ""under chen"" mean?",
The rest is our job. Have a good trip.,余下的是我们的事，祝您旅途愉快。,ما تبقى هو مسؤوليتنا. احظ برحلة جيدة.,sent,,
The restaurant across the street is excellent.,街对面的那家餐馆不错。,المطعم مقابل هذا الشارع ممتاز.,sent,,
The restaurant is so popular that you have to wait for one to two hours to get a seat.,这家餐厅太出名了，要等一两个小时才有座位。,المطعم مشهور جداً لدرجة أنه يجب عليك الانتظار لساعتين للحصول على مقعد.,sent,,
The service is too slow.,这服务太慢了。,الخدمة بطيئة جداً,sent,,
The service was very bad.,这服务太差劲了。,الخدمة كانت سيئة جداً,sent,,
The table over there has been reserved.,那边那张桌子已经被预定了。,تلك الطاولة هناك قد تم حجزها.,sent,,
Then give me a double Western.,那给我来双份西餐吧。,إذاً، أحضرلي Double Western/مزدوج غربي.,sent,,
there,那里,هناك,adv,,
There are * of us.,一共有*个人,نحن * أشخاص,vp,,
There are enough seats.,还有很多座位。,هناك مقاعد كافية.,sent,,
There are no direct flights.,没有直达的航班。,ليس هناك أي رحلات مباشرة.,sent,,
There is a fly in my soup.,我的汤里有只苍蝇。,هناك ذبابة في شوربتي.,sent,,
There is enough time for us for the connection.,我们有足够的时间转飞机。,هناك وقت كافي لنا للتواصل.,sent,,
There is no price on this item.,这上面没有标价。,ليس هناك سعر على هذه القطعة.,sent,,
There isn't anything wrong with this food.,这菜没有任何问题。,ليس هناك أي شي سيء في هذا الطعام.,sent,,
There will be no charge for this.,这一份我们不收费。,لن يكون هناك أى رسوم على هذا.,sent,,
There's an airsickness bag in the seat pocket.,在椅兜里有呕吐袋。,هناك كيس لدوار الج، في جيب المقعد.,sent,,
These eggs are overcooked.,鸡蛋过熟了。,البيض مطهو أكثر من اللازم,sent,,
These eggs are raw.,鸡蛋是生的。,البيض نيء,sent,,
These eggs are too soft/hard.,鸡蛋太软/硬了。,البيض طري/قاسي جدا.,sent,,
These eggs are undercooked.,鸡蛋还没熟。,البيض ليس مطهو بما فيه الكفاية,sent,,
These items are forbidden by law.,这些东西是违禁品。,هذه الأشياء ممنوعة بحمن القانون,sent,,
Thessaloniki,塞萨洛尼基,سالونيك,np,,
they,他们,هم,np,,
they (f),她们,هن,np,,
they (two people),他们,هما,np,,
They are in Section B.,它们在B区。,إنهم في المنطقة B.,sent,,
They are on the chelf right behind you.,就在你身后的货架上。,إنهم على الرف ورائك,sent,"I'm guessing the word ""shelf"" is meant, and not ""chelf""?",
They're labeled on the packet.,它们在包装上有标示。,أنهم معرفون على العبوة.,sent,,
This food tastes strange.,这菜味道好怪。,الطعام طعمه غريب.,sent,,
This fork is dirty.,这个叉子是脏的。,الشوكة متسخة,sent,,
This glass is chipped.,这杯子有缺口。,الكأس مكسور,sent,,
This glass is dirty.,这杯子是脏的。,الكأس متسخ,sent,,
This glass is smeared.,这杯子有污渍。,الكأس ملطخ,sent,,
This glass is spotted.,这杯子有斑点。,الكأس مبقع,sent,,
This glass is stained and it really spoiled my appetite very much.,杯子有污垢，这可真倒胃口。,الكأس مبقع وقد أفسد شهيتي كثيراً,sent,,
This glass is stained.,这杯子有污垢。,الكأس مبقع,sent,,
This headphone is not working. Can I have a new one?,这副耳机是坏的，能给我一副新的吗?,سماعات الرأس لا تعمل. هل يمكنني الحصول على واحدة أخرى؟,sent,,
This hotel prefers cash.,本宾馆主张现金付款。,الفندق يفضل النقد,sent,,
This Is Designated Non-Smoking Room.,这是指定的禁烟房间。,هذه غرفة مخصصة لغير المدخنين,sent,,
This is my luggage.,这是我的行李。,هذه أمتعتي,sent,,
This is not my order.,这不是我点的菜。,هذا ليس طلبي,sent,,
This is not the right flavor.,这不是正经的味道。,هذه ليست النكهة الصحيحة,sent,,
This is not what I ordered.,这不是我点的菜。,هذا ليس هو ما طلبته,sent,,
This is on the house.,这一份由饭店出钱。,إن تكلفة هذا المطعم سنغطيها,sent,,
This is supposed to be my seat.,这应该是我的座位了。,من المفترض أن يكون هذا مقعدي,sent,,
"This is the government's rule. For your own safety and other passangers, we need your understanding and corporation.",这是政府规定的，为了您和其他旅客的安全，请您理解和配合我们的工作。,إن هذا قانون الحكومة. لسلامتك وسلامة باقي الركاب. نحن نحتاج تفهمكم وتعاونكم.,sent,,
This item is not priced.,这上面没有标价。,هذا الشيء غير مسعر,sent,,
This knife doesn't cut.,这把刀不能切了。,هذه السكينة لا تقطع,sent,,
This knife is bent.,这把刀子弯了。,هذه السكينة منحنية,sent,,
This knife is blunt.,这把刀子钝了。, هذه السكينة حادة,sent,,
This knife is not sparp.,这把刀不锋利了。,,sent,What is sparp?,
This knife is so blunt that it can't even cut beancurd.,这刀太钝了，甚至连豆腐都切不了。,هذه السكينة حادة جداً لدرجة أنها لا يمكنها أن تقطع حبات الفاصوليا,sent,,
This one is very good.,这张桌很好。,هذه جيدة جداً,sent,,
This restaurant is famous for the seafood.,这家餐厅以海鲜闻名。,هذا المطعم مشهور بالمأكولات البحرية,sent,,
This restaurant is more expensive than that one.,这家餐馆比那一家贵得多。,هذا المطعم أغلى من ذاك,sent,,
This salad is not fresh.,色拉不新鲜了。,هذه السلطة ليست طازجة,sent,,
This shish kebab is burnt.,这份烤羊肉串烧焦了。,هذا الشيش كباب محترق,sent,,
this side up,此面向上,هذه الجهة للأعلى,np,,
This steak is bloody.,牛排带血过多。,شريحة الدم هذه دموية,sent,,
This steak is hard/dry.,牛排太硬/干了。,شريحة اللحم هذه قاسية وجافة,sent,,
This steak is underdone.,牛排没熟。,شريحة اللحم هذه مطهوة أكثر من اللازم,sent,,
This table is too close to the toilet.,这张桌子离厕所太近。,هذه الطاولة قريبة جداً من الحمام,sent,,
This tablecloth is filthy.,这个桌布好脏。,غطاء الطاولة هذا قذر,sent,,
This was very impressive!,真的很棒！,كان هذا مثيراً للإعجاب!,sent,,
This way please.,这边请。,من هنا لو سمحت,sent,,
this week,这个星期,هذا الأسبوع,np,,
thousand,一千,ألف,num,,
three,三,ثلاثة,num,,
throat,喉咙。,حلق,np,,
through,通过,من خلال/عبر,np,,
Thursday,星期四,يوم الخميس,np,,
Tianjin,天津,تيانجين,np,,
ticket confirm,机票确认,تأكيد التذكرة,np,,
ticket office,售票处,مكتب التذاكر,np,,
Tijuana,蒂华纳,تيخوانا,np,,
to,前往城市,إلى,np,,
to *,去*,إلى *,adv,,
to board a plane,上飞机,صعود إلى الطائرة,np,,
to face the wind,迎风,مقابلة الريح,np,,
to fly with the wind,顺风,طيرات مع الريح,np,,
to get off a plane,下飞机,نزول من الطائرة,np,,
to lose height,降低,خسارة الوزن,np,,
toast,吐司,خبز محمص,np,,
today,今天,اليوم,np,,
toes,脚指。,أصابع القدم,np,,
Togo,多哥,توغو,np,,
toilet,厕所,حمام,np,,
Tokyo,东京,توكيو,np,,
toll free,免费通行,رقم مجاني,np,,
tomato juice,番茄汁,عصير طماطم,np,,
tomorrow,明天,غداً,np,,
Tonga,汤加,تونغا,np,,
tonic water,通宁水,مياه مقوية,np,,
toothbrush,牙刷,فرشاة أسنان,np,,
toothpaste,牙膏,معجون أسنان,np,,
toothpick,牙签,عود أسنان,np,,
toothpick tuble,牙签筒,,np,What is a tuble?,
top speed,最高速度,سرعة قصوى,np,,
Toronto,多伦多,تورونتو,np,,
Toulouse,图卢兹,تولوز,np,,
Towards the *.,靠近*,نحو ال*.,vp,,
train station,火车站,محطة القطار,np,,
transfer passengers,中转旅客,ركاب تحويل,np,,
transfers,中转,تحويلات,np,,
transit,过境,عبور,np,,
Transit Passenger.,过境旅客。,ركاب العبور,sent,,
travel agency,旅行社,مكتب سفريات,np,,
tray,托盘,صينية,np,,
trident,三叉戟,رمح ثلاثي الشعب,np,,
trillion,一兆,تريليون,num,,
Trinidad & Tobago,特立尼达和多巴哥,ترينيداد وتوباجو,np,,
Tripoli,硅藻土,طرابلس,np,,
Trolley.,行李手推车。,عربة,sent,,
Try to be there by * and the airport will be crowed.,尽量*到那吧，机场人会很多的。,حاول أن تكون هناك في * والمطار سيكون ...,vp,Crowed airport?,
Tuesday,星期二,يوم الثلاثاء,np,,
Tunisia,突尼斯,تونس,np,,
tupolev,图波列夫,توبوليف,np,,
turbulence,飞机颠簸, اضطراب,np,,
Turkey,火鸡,تركيا,np,,
Turkmenistan,土库曼斯坦,تركمانستان,np,,
Turn around please.,请转身。,در إلى الوراء,sent,,
Turn Handle.,旋转手柄。,أدر المقبض ,sent,,
Turn left.,左拐。,در إلى يسار.,sent,,
Turn right.,右拐。,در إلى يمين.,sent,,
Tuvalu,图瓦卢,توفالو,np,,
TV,电视,‏تلفاز,np,,
twenty thousand,二万,عشرون الف,num,,
twin,双胞胎的,توأم,np,,
two,二,إثنان,num,,
two hundred,二百,مئتين,num,,
two thousand,二千,ألفين,num,,
Two Way Traffic Hotel Parking.,旅馆双向停车场。,اصطفاف سيارات فندقية ذو حركة مرور ثنائية الاتجاه,sent,,
u turn ok,可以U形转弯,,np,u turn ok???,
U-turn.,掉头。,منعطف.,sent,,
Uganda,乌干达,أوغندا,np,,
Ukraine,乌克兰,أوكرانيا,np,,
umbrella,雨伞,مظلة,np,,
unbutton your coat,解开外衣扣子,فك أزرار معطفك,np,,
uncle,叔父,عم,np,,
undergraduate,大学肆业生,لامرحلة الجامعية الأولى,np,,
United Arab Emirates,阿联酋,الإمارات العربية المتحدة,np,,
United Kingdom,英国,المملكة المتحدة,np,,
United States,美国,الولايات المتحدة الامريكانية,np,,
Unplug It.,拔去电源插头。,افصله,sent,,
upstairs,由此上楼,الطابق العلوي,np,,
Uruguay,乌拉圭,أوروغواي,np,,
Use Door Viewer To Identify Callers Prior To Opening Door.,开门前通过猫洞鉴别叫门人身份。,استخدم عارض الباب للتعرف على المتصل قبل فتح الباب,sent,,
Uzbekistan,乌兹别克斯坦,أوزبكستان,np,,
vacant,无人,شاغر,np,,
Valencia,瓦伦西亚,فالنسيا,np,,
Vancouver,温哥华,فانكوفر,np,,
vanilla bean latte,拿铁香草,لاتيه فانيليا,np,,
vanilla cappuccino,香草卡布奇诺,كابوتشينو الفانيليا,np,,
Vanuatu,瓦努阿图,فانواتو,np,,
vase,花瓶,أباجورة,np,,
Vatican City,梵蒂冈城,مدينة الفاتيكان,np,,
vegetables,蔬菜,خضروات,np,,
Venezuela,委内瑞拉,فنزويلا,np,,
Venice,威尼斯,مدينة البندقية,np,,
Victoria,维多利亚,فيكتوريا,np,,
Vienna,维也纳,فيينا,np,,
Vietnam,越南,فيتنام,np,,
vinegar,醋,خل,np,,
vip suite,贵宾候机厅,جناح مميز,np,,
VIP Suite.,贵宾候机厅。,جناح خاص,sent,,
visitors please register,来宾登记,يرجى من الزوار التسجيل,np,,
vodka,伏特加,شراب فودكا,np,,
waist,腰,خصر,np,,
Wait or stay?,等待还是留下来？,انتظر أو ابقى؟,sent,,
Wait.,等一下。,انتظر.,sent,,
Waiter!,服务生！,النادل!,sent,,
Waiter! I have a small problem.,服务生! 我有点问题。,النادل! عندي مشكلة صغيرة.,sent,,
Waiting And Boarding.,候机和登机。,الانتظار والصعود,sent,,
waiting hall,候机厅,قاعة الانتظار,np,,
Waiting Hall.,候机厅。,قاعة الانتظار,sent,,
waiting lounge,候机厅,ردهة الانتظار,np,,
Waiting Lounge.,候机厅。,ردهة الانتظار,sent,,
waiting room,候机厅,غرفة الانتظار,np,,
Waiting Room.,候机厅。,غرفة الانتظار,sent,,
"Walk through the security gate, please.",请走过这个安检门。,اعبر عبر بوابة الأمن، من فضلك.,sent,,
Warm Air Hand Drier.,吹风机。,مجفف شعر ذو هواء ساخن,sent,,
Warn Children Of The Risk Of Death By Electric Shock.,小心孩童触电死亡。,حذر الأطفال من خطورة الوفاة نتيجة صدمة كهربائية,sent,,
Warsaw,华沙,وارسو,np,,
Watch for the *.,注意*,احذر ال*.,vp,,
water,水,ماء,np,,
water glass,水杯,كأس ماء,np,,
we,我们,نحن,np,,
We also serve sandwiches and cakes.,我们还供应三明治和蛋糕。,نحن نوفر السندويتشات والكعك أيضاً,sent,,
We Are Committed To Doing What It Takes To Make Your Stay As Comfortable As Possible.,为了让您尽可能舒适我们愿意付出一切。,نحن ملتزمون بفعل كل ما يمكن لجعل فترة بقائك مريحة قدر الإمكان,sent,,
We are not responsible for items left over * days.,遗忘物品超过*天我们概不负责。,نحن لسنا مسؤولون عن الأشياء المفقودة لأكثر من * أيام.,vp,,
We came here before they did. How come they were served first?,我们比他们先到，怎么他们先得到服务?,نحن أتينا هنا قبل ما أتوا هم. كيف خدموهم هم أولاً؟,sent,,
We can have another toast for that. Cheers!,为了这个我们再次祝酒，干杯！,يمكننا أن نؤدي نخباً آخر لذلك. نخبكم!,sent,,
"We could check it in for you ,or you could have it deposited temporarily at our place for up to one month.",您可以办理托运或在我们这儿办理暂存，我们可以替您保留一个月。,يمكننا تسجيل دخوله لك، أو يمكنك إيداعه مؤقتاً عندك لمدة تصل إلي شهر.,sent,,
We could grab a quick bite.,我们快找点吃的吧。, يمكننا أن نأخذ لقمة سريعة.,sent,,
We have a clearance sale today.,我们今天清仓大处理。,لدينا تخفيضات تصفية اليوم,sent,,
We have a nonstop flight leaving at *.,*点半我们有一个直达航班。,لدينا رحلة جوية مباشرة تغادر الساعة *.,vp,,
"We have a selection of orange, apple, grape and lemonade.",我们有橙汁、苹果汁、葡萄汁和柠檬汁。,لدينا مجموعة مختارة من البرتقال، العنب، و الليموناده.,sent,,
We have a table for you now.,现在有桌子了。,لدينا طاولة لك الآن.,sent,,
We have enough time to transfer the flight.,我们有足够的时间转飞机。,لدينا وقت كافي لتحويل الرحلة.,sent,,
We have free samples now.,我们现在有免费试吃。,لدينا عينات مجانية الآن,sent,,
"We have single rooms, double rooms, suites and luxury suites, etc.",我们有单人房，双人房，套房和豪华套房等等。,لدينا غرف فردية، غرف مزدوجة، أجنحة، وأجنحة فاخرة، إلخ.,sent,,
We have two flights at * and *.,我们有两次航班，*和*的。,لدينا رحلتان جويتان الساعة * و*.,vp,,
We hope you enjoyed your flight.,我们希望你们满意这次的飞行。,نتمنى أن تكونوا استمتعتم بالرحلة.,sent,,
We hope you understand.,希望您能谅解。,نتمنى أن تتفهموا,sent,,
We lazed the whole afternoon away at a cafe.,我们在一家咖啡馆消磨了整个下午。,لقد قضينا فترة ما بعد الظهيرة في مقهى,sent,,
We look forward to seeing you on *.,我们盼望下*见到您。,نحن نتطلع إلى رؤيتك في *.,vp,,
We might have cancellations. Could you call us again closer to the date?,或许有人会取消预约，请您接近哪个日期时再打电话好吗?,قد يكون لدينا إلغائات. هل يمكنك الاتصال بنا أقرب إلى الموعد؟,sent,,
We need a table for *.,我们要一张*人桌。,نحتاج إلى طاولة ل*.,vp,,
We need more milk,我们需要买点牛奶,نحتاج إلى المزيد من الحليب,sent,,
We need to buy some soya sauce. Which aisle is the soya sauce in?,我们想买一些酱油，酱油在哪一个通道?,نحتاج إلى شراء المزيد من صلصة الصويا. في أي ممر توجد صلصة الصويا؟,sent,,
We Promise To Make It Right Or You Won't Pay For That Part Of Your Stay.,我们承诺将立即整改，否则您可以拒绝支付相关服务的费用。,نحن نتوعد بجعله مناسب لك أو لن تدفع لذلك الجزء من فترة بقائك,sent,,
We took a trip to the supermarket.,我们去超市转转。,لقد أخذنا رحلة إلى المتجر,sent,,
We truly regret the delay. Thank you for your cooperation and patience.,我们对此深表谦意，并感谢您的配合与耐心。,نحن نادمون بصدق على التأخير. شكراً لتعاونك وصبرك.,sent,,
We were expecting you.,我们正恭候着您呢。,كنا نتوقع حضورك.,sent,,
We will be landing at * airport.,我们即将降落在*机场。,نحن سنهبط في مطار *,vp,,
We will have to be confiscated.,我们必须没收。,سنضطر أن نصادر,sent,,
We will inform you of the new departure time as soon as possible. Thank you.,我们将尽快通知您的新班机的起飞时候，谢谢。,سنخبركم بموعد الإقلاع الجديد في أقرب وقت ممكن. شكراً لكم.,sent,,
We'd like to sit together.,我们想坐在一起。,نود أن نجلس معاً.,sent,,
We'd love a table for *.,我们想要张*人桌。,سنود طاولة ل*.,vp,,
We'll be leaving on *.,我们*离开。,سنغادر في *.,vp,,
"We'll check you by hand, what do you think?",我们用手检，你看如何?,سنتأكد منك باليد، ما رأيك؟,sent,,
We'll have the room ready for you.,我们会为您准备好房间。,سنجعل الغرفة جاهزة لك,sent,,
We're fully booked.,我们都订满了。,نحن محجوزون بالكامل,sent,,
We're very sorry for the delay.,我们很抱歉延误了这么长时间。,نحن آسفون جداً بشأن هذا التأجيل,sent,,
We've been waiting for an hour.,我们已经等了一个小时了。,نحن ننتظر منذ ساعة الآن,sent,,
Wednesday,星期三,يوم الأربعاء,np,,
weight,体重,وزن,np,,
welcome aboard,欢迎登机,مرحباً على متننا,np,,
Welcome aboard.,欢迎登机。,مرحباً على متننا,sent,,
Welcome to our restaurant.,欢迎光临我们饭店。,مرحباً بكم إلى مطعمنا,sent,,
well,好 ,حسناً,adj,,
well-educated,受过良好教育的,جيد التعليم,np,,
"Well, I'll have a cup of coffee.",好吧，我要一杯咖啡。,حسناًً، سآخذ كوب قهوة.,sent,,
"Well, I've got them.",好的，我记下了。,حسناً، أنا لدي إياهم.,sent,,
Wellington,惠灵顿,ولينغتون,np,,
west,西,غرب,adv,,
West Box,西厢,الصندوق الغربي,sent,,
West Wing,西楼,الجناح الغربي,sent,,
wet paint,油漆未干,طلاء رطب,np,,
"What about something else, coffee,tea, juice, coke or beer?",其他的怎么样，咖啡、茶、果汁、可乐、或啤酒?,ماذا عن أي شيء آخر، قهوة، شاي، عصير، مشروب غازي، أو بيره؟,sent,,
What are you looking for?,您在找什么呢?,عن ماذا تبحث؟,sent,,
What are you studying?,你学的是什么?,ماذا تدرس؟,sent,,
What class?,要什么舱位?,أي صف؟,sent,,
"What coffee would you like,black coffee or white coffee?",你喜欢什么咖啡，黑咖啡还是牛奶咖啡？,أي قهوة تريد، قهوة سوداء أم بيضاء؟,sent,,
What date will you check in?,你们那天入住?,أي تاريخ ستسجل الدخول؟,sent,,
"What date, please?",请问订哪一天?,أي تاريخ، من فضلك؟,sent,,
What do you do for a living?,你做什么工作?,ماذا تفعل لكسب رزقك؟,sent,,
What do you do there?,你在那里从事什么工作?,ماذا تفعل هنا؟,sent,,
What do you do?,你做什么工作?,ماذا تفعل؟,sent,,
What do you have to drink?,你们这里有什么喝的?,,sent,,
What do you want exactly?,你到底想买些什么?,,sent,,
What does it look like?,它是什么样子的?,,sent,,
What flavor do you like?,你喜欢什么口味?,,sent,,
What is *?,*是什么？,ما *؟,vp,,
What is the boarding time?,什么时候登机呢?,,sent,,
What is the exchange rate?,汇率多少？,ما هو سعر العملة؟,sent,,
"What is the fare, please?",请问票价是多少?,,sent,,
What is this called?,这叫什么？,ماذا يدعى هذا؟,sent,,
What is this?,这是什么？,ما هذا؟,sent,,
What is your name?,你叫什么名字？,ما اسمك؟,sent,,
What is your nationality?,你的国籍是哪儿?,,sent,,
What kind of coffee do you have?,你们这儿有什么咖啡?,,sent,,
What kind of drinks you got?,你们有什么饮料?,,sent,,
What kind of room would you like?,你喜欢订哪类房间?,,sent,,
What kind of seats do you want?,你需要什么样的座位?,,sent,,
"What kind of tickets do you want, first class or economy?",你要什么类型的票，头等舱还是经济舱?,,sent,,
What kind of work do you do?,你从事哪类工作?,,sent,,
What kinds do you have?,你们都有什么果汁?,,sent,,
What should I do about it?,我该怎么做呢?,,sent,,
What sort of job do you do at *?,你在*担任什么职务?,,sent,,
What time do I have to be at the airport?,我什么时候到机场?,,sent,,
What time do you close?,你们几点开始关门?,,sent,,
What time do you open?,你们几点开始营业?,,sent,,
What time do you start check-in?,你们何时开始办理登机手续？,,sent,,
What time does the inflight movie start?,机上电影什么时候开始播放?,,sent,,
What time does the plane take off?,飞机何时起飞呢?,,sent,,
What time is *?,*是什么时候？,ما هو توقيت *؟,sent,,
What time is it?,现在几点？,كم الساعة؟,sent,,
What time should I check in?,我应该什么时间办理登机手续呢?,,sent,,
What time will this bus arrive?,公车什么时候到？,متى ستصل هذه الحافلة؟,vp,,
What time will this train arrive?,火车什么时候到？,متى سيصل هذا القطار؟,sent,,
What was the date of the reservation?,保留的日期是什么呢?,,sent,,
What was your order?,您点的是什么?,,sent,,
What would you like to drink?,你喝点什么?,,sent,,
What would you like to have for dinner?,你晚餐吃什么?,,sent,,
What would you like?,你喜欢什么？,ماذا تحب؟,sent,,
What would you suggest?,你推荐什么?,,sent,,
What?,什么？,ماذا؟,sent,,
What's the baggage allowance?,行李限重是多少?,,sent,,
What's the fare for an economy class ticket?,经济舱的票价是多少?,,sent,,
What's the fare to * for the economy class?,去*的经济舱机票多少钱?,,sent,,
What's the gate number?,在几号门?,,sent,,
What's the price?,房间的价格是多少?,,sent,,
What's the rate for a standard room?,标准房间多少钱?,,sent,,
"What's the rate, please?",请问房费是多少?,,sent,,
What's up?,干嘛?,,sent,,
What's wrong with you?,你怎么了?,,sent,,
What's your flight number?,你的班机号是什么?,,sent,,
What's your job?,你的工作是什么?,,sent,,
"What's your name, please?",请问你叫什么名字?,,sent,,
What's your telephone number?,你的电话号码是多少?,,sent,,
When am I supposed to check in?,我应该什么时候检票呢?,,sent,,
When are you leaving?,您何时出发?,,sent,,
When can I start to check in?,我什么时候开始办理登机手续?,,sent,,
When can I use my electronic devices?,我什么时候才能使用电子设备?,,sent,,
When do I have to check out?,何时要退房？,متى يجب علي تسجيل الخروج؟,sent,,
When do you start to serve dinner?,请问晚餐几点开始供应?,,sent,,
When does the bus for * leave?,去*的公车什么时候离开？,متى تنطلق الحافلة المتجه إلى*؟,vp,,
When does the * close?,*什么时候打烊呢？,,sent,,
When does the train for * leave?,去*的火车什么时候离开？,متى ينطلق القطار المتجه إلى*؟,vp,,
When does your flight land?,飞机什么时候着陆?,,sent,,
When is closing time?,几点关门？,ما هو توقيت الإغلاق؟,sent,,
When is opening time?,几点开门？,ما هو توقيت الافتتاح؟,sent,,
When is the boarding time?,什么时候登机呢?,,sent,,
When is the plane due?,飞机什么时候着陆?,,sent,,
When shall I come to pick up the ticket?,我什么时候来取票?,,sent,,
When will the connecting flight take off?,衔接的航班什么时候起飞?,,sent,,
"When You Talk, We Listen.",我们随时倾听您的意见。,,sent,,
When?,什么时候？,متى؟,sent,,
Where are our dishes?,我们的菜在那儿呢?,,sent,,
Where are the dairy products?,乳制品在哪儿?,,sent,,
Where are the shopping baskets?,购物篮在哪里?,,sent,,
Where are you from?,你从哪里来的？,من أين أنت؟,sent,,
Where are you taking me?,你带我去哪里？,إلى أين أنت آخذني؟,sent,,
Where can I find *?,哪里有*?,أين يمكنني أن أجد؟,vp,,
Where can I find a baggage trolley?,哪里有行李推车。,,sent,,
Where can I find the diary products?,乳制品在哪儿?,,sent,,
Where can I get a baggage trolley?,我在哪儿能得到行李车?,,sent,,
Where can I get a traveler's check changed?,我在哪里可以兑换这个旅行支票？,أين يمكنني أن أصرّف شيك سياحي؟,sent,,
Where can I get money changed?,我要在哪里换钱？,أين يمكنني أن أصرّف بعض المال؟,sent,,
Where can I put my baggage?,我的行李放哪儿呢?,,sent,,
Where do I board the plane?,我在哪儿登机?,,sent,,
Where do I go to catch my connecting flight?,我要去哪里赶衔接的航班?,,sent,,
Where do I pick up the ticket?,我去什么地方拿机票?,,sent,,
Where do we get tickets?,哪里买车票？,أين يمكننا أن نحصل على تذاكر؟,sent,,
Where do you work?,你在哪里工作?,,sent,,
Where does it hurt?,哪里痛？,أين يؤلمك؟,sent,,
Where does this bus go?,这辆巴士去哪里？,أين تذهب هذه الحافلة؟,sent,,
Where does this train go?,这列火车去哪里？,أين يذهب هذا القطار؟,sent,,
Where is an ATM?,提款机在哪里？,أين توجد آلة الصرف الآلي؟,sent,,
Where is it on the map?,在地图上的哪里？,أين تقع على الخريطة؟,sent,,
Where is my seat?,我的座位在哪儿?,,sent,,
Where is seat *?,*号座位在哪儿?,,vp,,
Where is the * Airlines transfer desk?,*航的转机柜台在哪里?,,vp,,
Where is the *?,*在哪里？,أين ال*؟,vp,,
Where is the baggage claim area?,行李领取处在哪儿?,,sent,,
Where is the bathroom?,洗手间在哪里？,أين الحمام؟,sent,,
Where is the boarding gate for this flight?,这班飞机的登机口在哪儿?,,sent,,
Where is the bus to *?,到*的巴士在哪？,أين الحافلة المتجهة إلى *؟,vp,,
Where is the check-in counter for * Airlines?,请问*航空公司办理登机手续的柜台在哪里?,,sent,,
Where is the fruit and vegetable section?,水果蔬菜区在哪里?,,sent,,
Where is the gate?,登机口在哪儿?,,sent,,
Where is the lavatory?,请问洗手间在哪里?,,sent,,
Where is the toilet?,厕所在哪里？,أين الحمام؟,sent,,
